customer_id,first_name,last_name,gender,date_of_birth,age,email,phone_number,address,city_id,city_name,state_id,pin_code,city_tier,region_id,occupation,annual_income_inr,customer_segment,product_line,plan_id,acquisition_channel,acquisition_date,tenure_months,customer_status,churn_date
C0000011,Pankaj,Joshi,Male,01-04-1979,47,pankaj.joshi32@outlook.com,57059,"Flat 342, New Phase, Mysuru",CT0027,Mysuru,ST015,570685,Tier-2,RG03,Auto/Cab Driver,228930.0,Value,Prepaid Mobile,PL004,Tele-sales,08-06-2015,129,Active,
C0000012,Vikram,Deshmukh,Male,31-03-1997,29,vikram.deshmukh434@yahoo.in,+919003843105,"Villa 332, Ashok Marg, Raipur",CT0026,Raipur,ST027,492488,Tier-2,RG04,Small Business Owner,688190.0,Value,Postpaid Mobile,PL007,Online,11-08-2018,91,Active,
C0000013,Saanvi,Jadhav,Female,31-03-1994,32,saanvi.jadhav230@outlook.com,+916911182239,"Door No. 133, Tilak Colony, Vadodara",CT0020,VADODARA,ST011,390803,Tier-2,RG02,Data Analyst,775698.0,Mass,Prepaid Mobile,PL001,Online,25-01-2020,74,Active,
C0000014,Devansh,Syed,Male,01-04-1983,43,devansh.syed43@yahoo.in,+918055320949,"House No. 76, Civil Lines Nagar, Ludhiana",CT0031,Ludhiana,ST003,141342,Tier-2,RG01,Homemaker,17316.0,Premium,Postpaid Mobile,PL009,Tele-sales,10-07-2024,20,Active,
C0000015,Yash,Pandey,Male,01-04-1991,35,yash.pandey86@yahoo.in,+919447514418,"Flat 265, Patel Lane, Raipur",CT0026,Raipur,ST027,492623,Tier-2,RG04,Homemaker,,Premium,OTT Bundles,PL020,Online,02-01-2014,146,Active,
C0000016,Geeta,Mohanty,Female,01-04-1983,43,geeta.mohanty746@hotmail.com,+918384315234,"Plot 247, Nehru Lane, Agartala",CT0066,Agartala,ST033,799999,Tier-3,RG04,Student,13345.0,Value,Prepaid Mobile,PL004,Tele-sales,02-03-2015,60,Churned,19-03-2020
C0000017,Ayesha,Bhardwaj,Female,01-04-2003,23,ayesha.bhardwaj471@yahoo.in,+918575123117,"Apartment 7, Model Town Sector, Hyderabad",CT0006,Hyderabad,ST019,500975,Metro,RG03,Police Officer,350051.0,Value,Prepaid Mobile,PL004,Referral,10-05-2016,56,Churned,20-01-2021
C0000018,Sunita,Roy,Female,31-03-1994,32,sunita.roy189@rediffmail.com,+917000186679,"Door No. 236, Ashok Nagar, Jammu",CT0062,Jammu,ST008,180325,Tier-3,RG01,Doctor,2302405.0,Mass,Prepaid Mobile,PL002,Tele-sales,05-02-2014,132,Churned,10-02-2025
C0000019,Manish,Das,Male,01-04-1987,39,manish.das975@rediffmail.com,+917399234440,"House No. 65, Vasant Phase, Surat",CT0019,Surat,ST011,395057,Tier-2,RG02,Chartered Accountant,749463.0,Premium,OTT Bundles,PL020,Partner/Reseller,09-10-2017,101,Active,
C0000020,Faisal,Krishnan,Male,31-03-1985,41,faisal.krishnan694@yahoo.in,+918847239376,"Apartment 293, Civil Lines Sector, Chandigarh",CT0023,Chandigarh,ST009,160830,Tier-2,RG01,Homemaker,121727.0,Value,Prepaid Mobile,PL004,Partner/Reseller,16-11-2015,124,Active,
C0000021,Ramesh,Shaikh,Male,31-03-2006,20,ramesh.shaikh95@rediffmail.com,+916108185860,"Flat 367, Old Marg, Kochi",CT0017,Kochi,ST017,682562,Tier-2,RG03,Software Engineer,744126.0,Value,Prepaid Mobile,PL004,Online,02-05-2019,82,Active,
C0000022,Karthik,Pradhan,Male,31-03-2004,22,,+918370420199,"Apartment 390, Garden Cross, Ludhiana",CT0031,Ludhiana,ST003,141133,Tier-2,RG01,Chartered Accountant,2493470.0,Value,Prepaid Mobile,PL004,Retail Store,29-09-2014,106,Churned,07-08-2023
C0000023,Nandini,Pawar,Female,01-04-1999,27,nandini.pawar10@rediffmail.com,+919428647419,"Door No. 168, Park View Street, Mumbai",CT0002,Mumbai,ST010,400532,Metro,RG02,Bank Officer,1072717.0,Mass,Prepaid Mobile,PL002,Tele-sales,26-12-2021,10,Churned,22-11-2022
C0000024,Aadhya,Menon,Female,31-03-2008,18,aadhya.menon670@yahoo.in,+917022319353,"Apartment 45, Model Town Sector, Bhubaneswar",CT0022,Bhubaneswar,ST023,751768,Tier-2,RG04,Police Officer,569832.0,Value,Prepaid Mobile,PL005,Online,01-05-2024,22,Active,
C0000025,Sarika,Bhat,Female,01-04-2007,19,sarika.bhat172@rediffmail.com,+916949160147,"Apartment 398, Industrial Road, Mysuru",CT0027,Mysuru,ST015,570126,Tier-2,RG03,Data Analyst,690119.0,Mass,Prepaid Mobile,PL001,Retail Store,28-06-2024,10,Churned,06-05-2025
C0000026,Pari,Pillai,Female,31-03-1980,46,pari.pillai817@hotmail.com,+917452713626,"Shop No. 105, Old Lane, Noida",CT0010,Noida,ST004,201397,Metro,RG01,Software Engineer,,Value,Prepaid Mobile,PL005,Online,19-07-2021,56,Active,
C0000027,Fatima,Shah,Female,31-03-2004,22,fatima.shah186@gmail.com,+918543622240,"Flat 174, Lake Street, Jabalpur",CT0049,Jabalpur,ST012,482867,Tier-3,RG02,Sales Executive,361312.0,Value,Prepaid Mobile,PL005,Retail Store,14-01-2022,50,Active,
C0000028,Anil,Bansal,Male,01-04-2003,23,anil.bansal283@yahoo.in,+916085878594,"Flat 15, Nehru Nagar, Ludhiana",CT0031,Ludhiana,ST003,141231,Tier-2,RG01,School Teacher,560099.0,Value,Postpaid Mobile,PL007,Retail Store,28-09-2023,30,Active,
C0000029,Varun,Vyas,Male,31-03-1993,33,varun.vyas936@rediffmail.com,+918304337496,"Plot 394, Ashok Cross, Kota",CT0050,Kota,ST005,324106,Tier-3,RG01,Self Employed,1202443.0,Enterprise,Enterprise,PL021,Referral,04-05-2019,82,Active,
C0000030,Aarav,Chakraborty,Male,01-04-1983,43,aarav.chakraborty132@rediffmail.com,+918457400125,"Flat 342, Indira Sector, Visakhapatnam",CT0018,Visakhapatnam,ST018,530874,Tier-2,RG03,Factory Worker,431526.0,Premium,OTT Bundles,PL020,Partner/Reseller,15-03-2020,72,Active,
C0000031,Preeti,Sheikh,Female,01-04-1983,43,preeti.sheikh953@hotmail.com,+919142018342,"Door No. 75, Nehru Road, Patna",CT0021,Patna,ST024,800377,Tier-2,RG04,Sales Executive,354707.0,Value,Prepaid Mobile,PL005,Referral,01-01-2014,146,Active,
C0000032,Diya,Deshmukh,Female,01-04-1995,31,,+918899576920,"Apartment 185, Garden Colony, Cuttack",CT0054,Cuttack,ST023,753452,Tier-3,RG04,Freelancer,899469.0,Mass,Prepaid Mobile,PL002,Retail Store,06-07-2015,128,Active,
C0000033,Gopal,More,Male,31-03-1982,44,gopal.more478@hotmail.com,+918013041742,"Plot 248, Patel Street, Gwalior",CT0048,Gwalior,ST012,474147,Tier-3,RG02,Software Engineer,2712055.0,Premium,5G,PL013,Online,14-03-2016,120,Active,
C0000034,Vihaan,Sarkar,Male,31-03-1982,44,vihaan.sarkar487@gmail.com,+917043414462,"Shop No. 280, Industrial Road, Hyderabad",CT0006,Hyderaabad,ST019,500556,Metro,RG03,Freelancer,557236.0,Mass,Prepaid Mobile,PL002,Online,2023/04/16,35,Active,
C0000035,Sunil,Varma,Male,01-04-1995,31,sunil.varma642@yahoo.in,+918974100354,"Apartment 285, Gandhi Layout, Hyderabad",CT0006,Hyderabad,ST019,500934,Metro,RG03,Factory Worker,322932.0,Premium,Postpaid Mobile,PL009,Retail Store,21-08-2021,55,Active,
C0000036,Nandini,Varma,Female,31-03-1981,45,nandini.varma467@outlook.com,+917734891511,"Door No. 277, Lakshmi Phase, Visakhapatnam",CT0018,Visakhapatnam,ST018,530732,Tier-2,RG03,Bank Officer,1029331.0,Premium,Fiber Broadband,PL018,Retail Store,01-01-2014,146,Active,
C0000037,Venkat,Mirza,Male,01-04-1975,51,venkat.mirza787@hotmail.com,+919880073148,"Flat 23, Lake Road, Surat",CT0019,Surat,ST011,395404,Tier-2,RG02,Lawyer,1883051.0,Premium,Postpaid Mobile,PL010,Online,13-09-2023,30,Active,
C0000038,Ritika,Shetty,Female,31-03-1996,30,,+917354734445,"Shop No. 369, Shivaji Colony, Surat",CT0019,Surat,ST011,395123,Tier-2,RG02,School Teacher,412582.0,Premium,Postpaid Mobile,PL008,Online,14-02-2017,109,Active,
C0000039,Aadhya,Bhattacharya,Female,31-03-2000,26,aadhya.bhattacharya618@rediffmail.com,+917465879599,"Shop No. 392, Shivaji Colony, Dehradun",CT0033,Dehradun,ST006,248165,Tier-2,RG01,Bank Officer,815221.0,Premium,Postpaid Mobile,PL009,Online,02-03-2016,120,Active,
C0000040,Devansh,Reddy,Male,31-03-1976,50,,+919680789488,"Apartment 359, Lakshmi Phase, Gurugram",CT0009,Gurugram,ST002,122191,Metro,RG01,Software Engineer,736107.0,Mass,Prepaid Mobile,PL001,Online,12-11-2020,24,Churned,21-11-2022
C0000041,Venkat,Sahoo,Male,31-03-2006,20,venkat.sahoo655@outlook.com,+917129016061,"Villa 60, Industrial Marg, Patna",CT0021,Patna,ST024,800627,Tier-2,RG04,HR Executive,1098864.0,Mass,Prepaid Mobile,PL001,Retail Store,28-06-2016,117,Active,
C0000042,Varun,Ahmed,Male,31-03-1994,32,varun.ahmed339@gmail.com,+917447183521,"Villa 316, Old Cross, Ludhiana",CT0031,Ludhiana,ST003,141874,Tier-2,RG01,Bank Officer,615238.0,Premium,Postpaid Mobile,PL009,Partner/Reseller,07-05-2018,94,Active,
C0000043,Kavitha,Patel,Female,31-03-1977,49,kavitha.patel124@hotmail.com,+917418784642,"Apartment 258, Vivekananda Phase, Kolkata",CT0005,Kolkata,ST022,700039,Metro,RG04,Chartered Accountant,1304484.0,Premium,Prepaid Mobile,PL006,Tele-sales,01-01-2014,146,Active,
C0000044,Pranav,Paul,Male,31-03-1990,36,pranav.paul473@outlook.com,+916729821044,"Shop No. 305, Industrial Street, Raipur",CT0026,Raipur,ST027,492236,Tier-2,RG04,Chartered Accountant,1243423.0,Value,Prepaid Mobile,PL005,Online,10-08-2024,19,Active,
C0000045,Varun,Mishra,Male,31-03-1988,38,varun.mishra707@hotmail.com,+917494709523,"Plot 175, Model Town Nagar, Bikaner",CT0051,Bikaner,ST005,334431,Tier-3,RG01,Doctor,2206380.0,Value,Prepaid Mobile,PL004,App Self-Service,24-02-2014,51,Churned,29-05-2018
C0000046,Suresh,Borah,Male,31-03-1988,38,suresh.borah334@hotmail.com,+919980790921,"Shop No. 350, Civil Lines Road, Chandigarh",CT0023,Chandigarh,ST009,9172,Tier-2,RG01,Government Employee,415706.0,Premium,Prepaid Mobile,PL006,Retail Store,01-01-2014,146,Active,
C0000047,Neha,Chakraborty,Female,31-03-2008,18,neha.chakraborty333@rediffmail.com,+918434328389,"Door No. 45, Garden Colony, Surat",CT0019,Surat,ST011,395674,Tier-2,RG02,Self Employed,920444.0,Premium,Fiber Broadband,PL016,Online,03-05-2021,58,Active,
C0000048,Kiara,Modi,Female,31-03-1994,32,kiara.modi950@yahoo.in,+917284918627,"Door No. 31, Park View Lane, Bengaluru",CT0003,Bengaluru,ST015,560737,Metro,RG03,Operations Manager,1204834.0,Value,OTT Bundles,PL019,Online,19-09-2025,4,Churned,30-01-2026
C0000049,Myra,Paul,Female,01-04-2007,19,myra.paul245@rediffmail.com,+916627185703,"Flat 273, Ashok Lane, Kollam",CT0046,Kollam,ST017,691866,Tier-3,RG03,Delivery Partner,319204.0,Value,Prepaid Mobile,PL003,App Self-Service,04-05-2016,25,Churned,17-06-2018
C0000050,Rohan,Roy,Male,01-04-1991,35,rohan.roy968@yahoo.in,+917495566073,"Shop No. 100, Indira Colony, Visakhapatnam",CT0018,Visakhapatnam,ST018,530466,Tier-2,RG03,HR Executive,877994.0,Enterprise,Enterprise,PL021,Online,18-01-2023,38,Active,
C0000051,Naveen,Shetty,Male,31-03-1985,41,naveen.shetty509@gmail.com,+917945728011,"Plot 50, Garden Lane, Visakhapatnam",CT0018,Visakhapatnam,ST018,530508,Tier-2,RG03,Retired,868136.0,Value,Postpaid Mobile,PL007,Retail Store,25-11-2018,88,Active,
C0000052,Isha,Mehrotra,Female,31-03-1990,36,isha.mehrotra358@hotmail.com,+917883709329,"Villa 34, Green Park Cross, Ahmedabad",CT0008,Ahmedabad,ST011,380647,Metro,RG02,Government Employee,782835.0,Value,Prepaid Mobile,PL005,App Self-Service,04-01-2015,134,Active,
C0000053,Ankit,Chatterjee,Male,31-03-1982,44,ankit.chatterjee61@hotmail.com,+916721199863,"Shop No. 1, Vasant Street, Pune",CT0007,Pune,ST010,411451,Metro,RG02,Auto/Cab Driver,326733.0,Premium,Postpaid Mobile,PL009,Retail Store,25-09-2025,6,Active,
C0000054,Rohan,Rastogi,Male,31-03-1990,36,rohan.rastogi912@rediffmail.com,+916381724819,"House No. 138, Janpath Nagar, Ahmedabad",CT0008,Ahmedaabad,ST011,380331,Metro,RG02,Auto/Cab Driver,194083.0,Enterprise,Enterprise,PL021,Online,11-06-2016,117,Active,
C0000055,Ayaan,Rao,Male,31-03-1990,36,ayaan.rao19@gmail.com,+916958574351,"Villa 303, Patel Road, Udaipur",CT0060,Udaipur,ST005,313380,Tier-3,RG01,Sales Executive,684739.0,Enterprise,IoT Solutions,PL024,Tele-sales,28-03-2017,108,Active,
C0000056,Srinivas,Tiwari,Male,01-04-1995,31,srinivas.tiwari359@gmail.com,+919099937265,"Villa 231, Krishna Marg, Nashik",CT0030,Nashik,ST010,422407,Tier-2,RG02,Freelancer,303062.0,Value,Prepaid Mobile,PL003,Retail Store,17-12-2021,51,Active,
C0000057,Anika,Sen,Female,31-03-2005,21,anika.sen387@rediffmail.com,+919451625789,"Apartment 364, Model Town Road, Aizawl",CT0067,Aizawl,ST032,796161,Tier-3,RG04,Police Officer,920003.0,Mass,Prepaid Mobile,PL002,Online,03-05-2016,118,Active,
C0000058,Vihaan,Sen,Male,31-03-1994,32,vihaan.sen667@outlook.com,+917237242595,"Plot 267, Tilak Street, Salem",CT0044,Salem,ST016,636014,Tier-3,RG03,Civil Engineer,1389728.0,Value,Prepaid Mobile,PL003,Partner/Reseller,16-07-2018,48,Churned,25-07-2022
C0000059,Neha,Thakkar,Female,31-03-1992,34,neha.thakkar112@rediffmail.com,+919831314305,"Shop No. 336, Krishna Lane, Nagpur",CT0015,Nagpur,ST010,440511,Tier-2,RG02,Software Engineer,1086384.0,Premium,Prepaid Mobile,PL006,Referral,01-01-2014,146,Active,
C0000060,Kabir,Kammela,Male,01-04-1983,43,kabir.kammela219@hotmail.com,+917332381637,"Villa 6, MG Cross, Surat",CT0019,Surat,ST011,395637,Tier-2,RG02,Delivery Partner,336677.0,Mass,Prepaid Mobile,PL001,Partner/Reseller,2021/06/13,57,Active,
C0000061,Gaurav,Jadhav,Male,31-03-1997,29,gaurav.jadhav628@rediffmail.com,+918234552425,"House No. 317, Gandhi Layout, Bengaluru",CT0003,Bengaluru,ST015,560941,Metro,RG03,Retired,859088.0,Enterprise,Enterprise,PL021,Retail Store,01-01-2014,146,Active,
C0000062,Divya,Shinde,Female,01-04-1987,39,divya.shinde144@hotmail.com,+917507648116,"Flat 91, Hill Road, Pune",CT0007,Pune,ST010,411131,Metro,RG02,Freelancer,530142.0,Mass,Prepaid Mobile,PL001,Referral,04-08-2020,54,Churned,13-02-2025
C0000063,Pranav,Sarkar,Male,31-03-2008,18,pranav.sarkar223@hotmail.com,+918027907647,"House No. 336, Model Town Nagar, Lucknow",CT0012,Lucknow,ST004,226575,Tier-2,RG01,Factory Worker,283817.0,Mass,Prepaid Mobile,PL001,Online,09-07-2024,20,Active,
C0000064,Sahil,Raju,Male,31-03-2008,18,sahil.raju9@outlook.com,+919816266932,"Plot 349, Vasant Cross, Mysuru",CT0027,Mysuru,ST015,570275,Tier-2,RG03,Software Engineer,1825889.0,Premium,Postpaid Mobile,PL008,Retail Store,25-01-2021,40,Churned,08-06-2024
C0000065,Tanvi,Gaikwad,Female,31-03-1997,29,tanvi.gaikwad566@yahoo.in,+919556202911,"Door No. 3, Model Town Phase, Nagpur",CT0015,Nagpur,ST010,440088,Tier-2,RG02,Small Business Owner,1067716.0,Mass,Prepaid Mobile,PL001,Retail Store,21-03-2016,120,Active,
C0000066,Ramesh,More,Male,01-04-1983,43,ramesh.more888@gmail.com,13624,"Villa 358, Rajaji Colony, Patna",CT0021,Patna,ST024,800696,Tier-2,RG04,Sales Executive,789784.0,Premium,5G,PL014,Tele-sales,11-08-2020,1,Churned,22-09-2020
C0000067,Rekha,Mohanty,Female,31-03-2008,18,rekha.mohanty377@hotmail.com,+918798589619,"Shop No. 12, Tilak Cross, Hyderabad",CT0006,HYDERABAD,ST019,500370,Metro,RG03,Freelancer,1426017.0,Premium,Prepaid Mobile,PL006,Partner/Reseller,01-01-2014,146,Active,
C0000068,Suresh,Syed,Male,01-04-2007,19,suresh.syed803@outlook.com,+917029050891,"Apartment 36, Industrial Marg, Varanasi",CT0037,Varanasi,ST004,221772,Tier-2,RG01,Police Officer,780051.0,Value,Prepaid Mobile,PL003,Retail Store,31-08-2023,30,Active,
C0000069,Aditya,Borah,Male,31-03-1997,29,,+917237495363,"Villa 136, Subhash Marg, Coimbatore",CT0016,Coimbatore,ST016,641134,Tier-2,RG03,Civil Engineer,675777.0,Value,Postpaid Mobile,PL007,App Self-Service,02-03-2015,132,Active,
C0000070,Aishwarya,Bhardwaj,Female,01-04-1987,39,aishwarya.bhardwaj886@rediffmail.com,+917292159158,"Villa 163, New Layout, Hyderabad",CT0006,Hyderabad,ST019,500281,Metro,RG03,Student,33492.0,Premium,Prepaid Mobile,PL006,Online,12-08-2014,139,Active,
C0000071,Srinivas,Ahmed,Male,31-03-1984,42,srinivas.ahmed287@outlook.com,+917500954288,"House No. 9, Vivekananda Colony, New Delhi",CT0001,New Delhi,ST001,110124,Metro,RG01,Doctor,,Mass,Prepaid Mobile,PL001,Retail Store,19-04-2025,11,Active,
C0000072,Faisal,Kulkarni,Male,31-03-1993,33,faisal.kulkarni176@rediffmail.com,+918922091089,"House No. 255, Indira Layout, Kota",CT0050,Kota,ST005,324534,Tier-3,RG01,Police Officer,537426.0,Enterprise,Enterprise,PL021,Referral,01-01-2014,146,Active,
C0000073,Sanjay,Bhardwaj,Male,31-03-1990,36,sanjay.bhardwaj135@yahoo.in,+917938416065,"House No. 2, Nehru Nagar, Bhopal",CT0014,Bhopal,ST012,462902,Tier-2,RG02,Marketing Manager,2182991.0,Premium,Postpaid Mobile,PL010,Referral,01-05-2023,34,Active,
C0000074,Ayaan,Iyer,Male,31-03-2006,20,ayaan.iyer832@rediffmail.com,+917082270547,"Door No. 297, Tilak Street, Cuttack",CT0054,Cuttack,ST023,753908,Tier-3,RG04,Data Analyst,1371517.0,Premium,OTT Bundles,PL020,Online,08-02-2017,109,Active,
C0000075,Priya,Mohanty,Female,31-03-1996,30,priya.mohanty497@yahoo.in,+918793890513,"Flat 213, Model Town Lane, Madurai",CT0028,Madurai,ST016,625116,Tier-2,RG03,Farmer,213628.0,Value,Prepaid Mobile,PL005,Field Agent,2024/12/13,15,Active,
C0000076,Preeti,Raju,Female,31-03-1985,41,preeti.raju810@hotmail.com,+917016212560,"Apartment 375, New Layout, Thiruvananthapuram",CT0034,Thiruvananthapuram,ST017,695497,Tier-2,RG03,Police Officer,755860.0,Premium,5G,PL013,Field Agent,02-07-2020,68,Active,
C0000077,Kiara,Chauhan,Female,31-03-2008,18,kiara.chauhan431@outlook.com,+917143239313,"Apartment 275, Krishna Layout, Kota",CT0050,Kota,ST005,324396,Tier-3,RG01,Data Analyst,615973.0,Enterprise,IoT Solutions,PL024,Partner/Reseller,10-07-2014,2,Churned,09-10-2014
C0000078,Reyansh,Pathan,Male,31-03-1984,42,reyansh.pathan387@yahoo.in,+919428622211,"Door No. 79, Lake Cross, Kochi",CT0017,Kochi,ST017,682094,Tier-2,RG03,Doctor,1798695.0,Premium,Postpaid Mobile,PL011,Retail Store,03-02-2024,25,Active,
C0000079,Ayaan,Trivedi,Male,31-03-1988,38,ayaan.trivedi67@hotmail.com,+918989707515,"Plot 394, Civil Lines Marg, Agartala",CT0066,Agartala,ST033,799264,Tier-3,RG04,Bank Officer,1065508.0,Premium,5G,PL013,Field Agent,28-09-2022,39,Churned,25-01-2026
C0000080,Bhavana,Mirza,Female,31-03-2006,20,bhavana.mirza562@rediffmail.com,+916002290495,"Shop No. 165, Indira Nagar, Shillong",CT0065,SHILLONG,ST034,793730,Tier-3,RG04,Sales Executive,764658.0,Value,Prepaid Mobile,PL004,Online,03-07-2025,8,Active,
C0000081,Kavya,Syed,Female,31-03-1984,42,kavya.syed672@hotmail.com,+918556921562,"Shop No. 379, Krishna Layout, Noida",CT0010,Noida,ST004,201767,Metro,RG01,HR Executive,433705.0,Premium,Postpaid Mobile,PL011,Tele-sales,28-05-2023,34,Active,
C0000082,Gopal,Singh,Male,31-03-1992,34,gopal.singh28@rediffmail.com,+916730743065,"Villa 163, Model Town Sector, Lucknow",CT0012,Lucknow,ST004,226354,Tier-2,RG01,Sales Executive,681337.0,Value,OTT Bundles,PL019,Online,23-08-2018,91,Active,
C0000083,Asha,More,Female,31-03-1980,46,asha.more292@hotmail.com,+918015234214,"Door No. 362, Shivaji Sector, Ahmedabad",CT0008,Ahmedabad,ST011,380359,Metro,RG02,Civil Engineer,888728.0,Value,Prepaid Mobile,PL003,Tele-sales,21-04-2025,11,Active,
C0000084,Krishna,Parmar,Male,31-03-1985,41,krishna.parmar995@outlook.com,+917185660836,"Shop No. 181, Janpath Nagar, Hyderabad",CT0006,Hyderabad,ST019,500199,Metro,RG03,Delivery Partner,207196.0,Premium,Smart Home,PL025,Retail Store,01-12-2018,87,Active,
C0000085,Venkat,Reddy,Male,31-03-1974,52,venkat.reddy890@yahoo.in,+918212082218,"Apartment 114, Subhash Sector, Pune",CT0007,PUNE,ST010,411953,Metro,RG02,Marketing Manager,789109.0,Value,Prepaid Mobile,PL004,Field Agent,03-05-2017,106,Active,
C0000086,Yash,Bhosale,Male,31-03-2008,18,yash.bhosale854@yahoo.in,+919141009975,"House No. 122, MG Marg, Bikaner",CT0051,Bikaner,ST005,334041,Tier-3,RG01,Bank Officer,766623.0,Premium,Postpaid Mobile,PL010,Tele-sales,23-12-2014,135,Active,
C0000087,Praveen,Bhosale,Male,31-03-1998,28,praveen.bhosale629@gmail.com,+916192047186,"Door No. 48, Vasant Road, New Delhi",CT0001,New Delhi,ST001,110645,Metro,RG01,School Teacher,358050.0,Enterprise,Enterprise,PL022,Online,19-09-2015,126,Active,
C0000088,Mahesh,Vyas,Male,31-03-2008,18,mahesh.vyas780@yahoo.in,+916906816499,"Shop No. 59, Ashok Street, Belagavi",CT0041,Belagavi,ST015,590406,Tier-3,RG03,Police Officer,690169.0,Value,Prepaid Mobile,PL003,Online,02-08-2021,55,Active,
C0000089,Rajesh,Shetty,Male,31-03-2004,22,rajesh.shetty31@outlook.com,+919164083238,"Plot 16, Garden Layout, Pune",CT0007,Pune,ST010,411461,Metro,RG02,Small Business Owner,2223449.0,Mass,Prepaid Mobile,PL002,Online,2021/10/31,52,Active,
C0000090,Karthik,Raju,Male,31-03-1986,40,karthik.raju904@rediffmail.com,+916270111021,"House No. 393, Vasant Nagar, Vadodara",CT0020,Vadodara,ST011,390995,Tier-2,RG02,Lawyer,714879.0,Premium,Fiber Broadband,PL018,Online,01-01-2014,146,Active,
C0000091,Anita,Chopra,Female,31-03-1990,36,anita.chopra202@outlook.com,+918548968919,"Apartment 299, Rajaji Road, Gurugram",CT0009,Gurugram,ST002,122333,Metro,RG01,Retired,634239.0,Enterprise,IoT Solutions,PL023,Referral,02-10-2024,17,Active,
C0000092,Rajesh,Singh,Male,31-03-1992,34,rajesh.singh265@gmail.com,+918220050180,"Apartment 353, Indira Layout, Chandigarh",CT0023,Chandigarh,ST009,160993,Tier-2,RG01,Doctor,3698037.0,Value,OTT Bundles,PL019,Tele-sales,15-12-2017,26,Churned,09-03-2020
C0000093,Nisha,Mehrotra,Female,31-03-2004,22,nisha.mehrotra423@outlook.com,+919260646297,,CT0066,Agartala,ST033,799392,Tier-3,RG04,Government Employee,572099.0,Value,Fiber Broadband,PL015,Retail Store,01-01-2014,146,Active,
C0000094,Naveen,Singh,Male,31-03-2008,18,naveen.singh543@gmail.com,+919994532799,"Flat 189, New Street, Belagavi",CT0041,Belaagavi,ST015,590210,Tier-3,RG03,Bank Officer,528242.0,Premium,5G,PL014,Partner/Reseller,13-12-2019,75,Active,
